genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	source			1	1937622	+	1937622				
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	rRNA	fig|862514.3.rna.1	HMPREF0623_r0001	127	3079	+	2953		Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.2	HMPREF0623_t0001	3754	3826	+	73		tRNA-Val-TAC		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.3	HMPREF0623_t0002	3834	3906	+	73		tRNA-Lys-TTT		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.4	HMPREF0623_t0003	3963	4035	+	73		tRNA-Thr-TGT		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.5	HMPREF0623_t0004	4046	4117	+	72		tRNA-Gly-GCC		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.6	HMPREF0623_t0005	4149	4234	+	86		tRNA-Leu-TAA		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.7	HMPREF0623_t0006	4243	4316	+	74		tRNA-Arg-ACG		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.8	HMPREF0623_t0007	4327	4400	+	74		tRNA-Pro-TGG		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.9	HMPREF0623_t0008	4436	4509	+	74		tRNA-Met-CAT		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.10	HMPREF0623_t0009	4530	4603	+	74		tRNA-Met-CAT		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.11	HMPREF0623_t0010	4651	4740	+	90		tRNA-Ser-TGA		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.12	HMPREF0623_t0011	4751	4824	+	74		tRNA-Met-CAT		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.13	HMPREF0623_t0012	4829	4902	+	74		tRNA-Asp-GTC		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.14	HMPREF0623_t0013	4907	4979	+	73		tRNA-Phe-GAA		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.15	HMPREF0623_t0014	5002	5072	+	71		tRNA-Gly-TCC		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.16	HMPREF0623_t0015	5081	5154	+	74		tRNA-Ile-GAT		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.17	HMPREF0623_t0016	5158	5245	+	88		tRNA-Ser-GCT		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.18	HMPREF0623_t0017	5266	5337	+	72		tRNA-Glu-TTC		
862514.3	Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	fig|862514.3.rna.19	HMPREF0623_t0018	5366	5439	+	74		tRNA-Met-CAT		
